ticker,risk_category,annualized_volatility,daily_return_variance,risk_window,investment_window_requested,actual_entry_date_used,entry_price,actual_exit_date_used,exit_price,investment_amount,shares_bought,final_value,profit_loss,one_month_return,outcome
DUK,Safe,0.16431768871566613,0.00010714405882880376,2023-03-20 to 2026-03-20 (3Y daily volatility),2026-02-19 to 2026-03-19 (1M horizon),2026-02-19,126.37,2026-03-19,129.74,100.0,0.7913270554720265,102.66677217694073,2.666772176940725,0.02666772176940725,Profit
JNJ,Safe,0.18002148786826794,0.0001286021273583529,2023-03-20 to 2026-03-20 (3Y daily volatility),2026-02-19 to 2026-03-19 (1M horizon),2026-02-19,246.91,2026-03-19,237.6,100.0,0.40500587258515247,96.22939532623222,-3.770604673767778,-0.03770604673767778,Loss
CNI,Safe,0.21658350068721685,0.0001861444951187685,2023-03-20 to 2026-03-20 (3Y daily volatility),2026-02-19 to 2026-03-19 (1M horizon),2026-02-19,109.43,2026-03-19,99.1,100.0,0.9138261902586128,90.56017545462852,-9.43982454537148,-0.0943982454537148,Loss
XOM,Safe,0.22603504906341,0.00020274541033769107,2023-03-20 to 2026-03-20 (3Y daily volatility),2026-02-19 to 2026-03-19 (1M horizon),2026-02-19,150.97,2026-03-19,158.16,100.0,0.6623832549513148,104.76253560309995,4.762535603099948,0.04762535603099948,Profit
RTX,Safe,0.240592327410403,0.00022970106352680376,2023-03-20 to 2026-03-20 (3Y daily volatility),2026-02-19 to 2026-03-19 (1M horizon),2026-02-19,205.41,2026-03-19,200.73,100.0,0.4868312156175454,97.72162991090988,-2.2783700890901173,-0.022783700890901173,Loss
LMT,Safe,0.24147256625712799,0.00023138492164604389,2023-03-20 to 2026-03-20 (3Y daily volatility),2026-02-19 to 2026-03-19 (1M horizon),2026-02-19,666.51,2026-03-19,637.51,100.0,0.15003525828569714,95.64897750971478,-4.351022490285217,-0.043510224902852175,Loss
NSRGF,Safe,0.24887945356229135,0.00024579754922803465,2023-03-20 to 2026-03-20 (3Y daily volatility),2026-02-19 to 2026-03-19 (1M horizon),2026-02-19,105.55,2026-03-19,96.4,100.0,0.9474182851729038,91.33112269066794,-8.66887730933206,-0.08668877309332061,Loss
NOC,Safe,0.24897974571720902,0.00024599568959288116,2023-03-20 to 2026-03-20 (3Y daily volatility),2026-02-19 to 2026-03-19 (1M horizon),2026-02-19,736.87,2026-03-19,714.15,100.0,0.13570914815367704,96.91668815394846,-3.0833118460515436,-0.030833118460515438,Loss
PM,Risky,0.2491347709758663,0.0002463021194809419,2023-03-20 to 2026-03-20 (3Y daily volatility),2026-02-19 to 2026-03-19 (1M horizon),2026-02-19,183.5,2026-03-19,163.37,100.0,0.5449591280653951,89.0299727520436,-10.970027247956395,-0.10970027247956395,Loss
GLNCY,Risky,0.3471568468830999,0.00047824554102307966,2023-03-20 to 2026-03-20 (3Y daily volatility),2026-02-19 to 2026-03-19 (1M horizon),2026-02-19,13.65,2026-03-19,13.875,100.0,7.326007326007326,101.64835164835165,1.6483516483516496,0.016483516483516494,Profit
META,Risky,0.3519218040526597,0.0004914641117765025,2023-03-20 to 2026-03-20 (3Y daily volatility),2026-02-19 to 2026-03-19 (1M horizon),2026-02-19,644.78,2026-03-19,606.7,100.0,0.1550916591705698,94.0941096187847,-5.9058903812153005,-0.05905890381215301,Loss
PLTR,Risky,0.6241142937142132,0.0015457089349936158,2023-03-20 to 2026-03-20 (3Y daily volatility),2026-02-19 to 2026-03-19 (1M horizon),2026-02-19,134.89,2026-03-19,155.68,100.0,0.7413447994662318,115.41255838090296,15.412558380902965,0.15412558380902966,Profit
RIVN,Risky,0.6854106189177981,0.0018642369703384088,2023-03-20 to 2026-03-20 (3Y daily volatility),2026-02-19 to 2026-03-19 (1M horizon),2026-02-19,15.59,2026-03-19,16.12,100.0,6.414368184733804,103.39961513790892,3.399615137908924,0.03399615137908924,Profit
U,Risky,0.7287934511199852,0.002107697993632453,2023-03-20 to 2026-03-20 (3Y daily volatility),2026-02-19 to 2026-03-19 (1M horizon),2026-02-19,18.49,2026-03-19,19.15,100.0,5.408328826392645,103.56949702541914,3.569497025419139,0.03569497025419139,Profit
COIN,Risky,0.7919669129197582,0.002488934885554174,2023-03-20 to 2026-03-20 (3Y daily volatility),2026-02-19 to 2026-03-19 (1M horizon),2026-02-19,165.94,2026-03-19,202.91,100.0,0.602627455706882,122.27913703748344,22.279137037483437,0.22279137037483437,Profit
PLUG,Risky,1.041557015372729,0.004304924667746616,2023-03-20 to 2026-03-20 (3Y daily volatility),2026-02-19 to 2026-03-19 (1M horizon),2026-02-19,1.91,2026-03-19,2.4,100.0,52.35602094240838,125.6544502617801,25.6544502617801,0.256544502617801,Profit
