ticker,daily_return_variance,annualized_volatility,risk_category,entry_date_used,entry_price,exit_date_used,exit_price,investment_amount,shares_bought,final_value,profit_loss,one_month_return,outcome
DUK,0.00010814957739760523,0.16508692711476738,Safe,2026-02-19,126.37,2026-03-19,129.74,100.0,0.7913270554720265,102.66677217694073,2.666772176940725,0.02666772176940725,Profit
JNJ,0.00012878015720538532,0.18014605079145396,Safe,2026-02-19,246.91,2026-03-19,237.6,100.0,0.40500587258515247,96.22939532623222,-3.770604673767778,-0.03770604673767778,Loss
CNI,0.0001866926542262494,0.21690216427001105,Safe,2026-02-19,109.43,2026-03-19,99.1,100.0,0.9138261902586128,90.56017545462852,-9.43982454537148,-0.0943982454537148,Loss
XOM,0.00020414309017342366,0.22681282751137063,Safe,2026-02-19,150.97,2026-03-19,158.16,100.0,0.6623832549513148,104.76253560309995,4.762535603099948,0.04762535603099948,Profit
RTX,0.0002304514388976548,0.24098498418409603,Safe,2026-02-19,205.41,2026-03-19,200.73,100.0,0.4868312156175454,97.72162991090988,-2.2783700890901173,-0.022783700890901173,Loss
LMT,0.0002327441111161315,0.24218075068276,Safe,2026-02-19,666.51,2026-03-19,637.51,100.0,0.15003525828569714,95.64897750971478,-4.351022490285217,-0.043510224902852175,Loss
PM,0.0002452848142269875,0.24861973611360957,Safe,2026-02-19,183.5,2026-03-19,163.37,100.0,0.5449591280653951,89.0299727520436,-10.970027247956395,-0.10970027247956395,Loss
NSRGF,0.00024617865745907655,0.2490723221871256,Safe,2026-02-19,105.55,2026-03-19,96.4,100.0,0.9474182851729038,91.33112269066794,-8.66887730933206,-0.08668877309332061,Loss
NOC,0.0002491724467671305,0.25058223517503564,Risky,2026-02-19,736.87,2026-03-19,714.15,100.0,0.13570914815367704,96.91668815394846,-3.0833118460515436,-0.030833118460515438,Loss
GLNCY,0.0004785550928255514,0.34726918002039714,Risky,2026-02-19,13.65,2026-03-19,13.875,100.0,7.326007326007326,101.64835164835165,1.6483516483516496,0.016483516483516494,Profit
META,0.0004933309068419423,0.3525895468163648,Risky,2026-02-19,644.78,2026-03-19,606.7,100.0,0.1550916591705698,94.0941096187847,-5.9058903812153005,-0.05905890381215301,Loss
PLTR,0.0015590183028562727,0.6267955107686882,Risky,2026-02-19,134.89,2026-03-19,155.68,100.0,0.7413447994662318,115.41255838090296,15.412558380902965,0.15412558380902966,Profit
RIVN,0.0018794785212554834,0.6882067911292229,Risky,2026-02-19,15.59,2026-03-19,16.12,100.0,6.414368184733804,103.39961513790892,3.399615137908924,0.03399615137908924,Profit
U,0.0021113321492864656,0.7294214842052498,Risky,2026-02-19,18.49,2026-03-19,19.15,100.0,5.408328826392645,103.56949702541914,3.569497025419139,0.03569497025419139,Profit
COIN,0.0024903769469031326,0.7921963081330217,Risky,2026-02-19,165.94,2026-03-19,202.91,100.0,0.602627455706882,122.27913703748344,22.279137037483437,0.22279137037483437,Profit
PLUG,0.004310722888343318,1.0422582059463559,Risky,2026-02-19,1.91,2026-03-19,2.4,100.0,52.35602094240838,125.6544502617801,25.6544502617801,0.256544502617801,Profit
